id,Geographic Area Name,Total Population,Female Total Population,Female Percentage,Male Percentage,Married percentage,50% below the poverty level,Poverty level percentage,High school graduate (includes equivalency) (18-24),Some college or associate's degree (18-24),Bachelor's degree or higher (18-24),High school graduate (includes equivalency) (>25),Some college or Associate's degree (>25),Bachelor's degree (>25),Graduate or professional degree (>25),High school graduate or higher (>25),Bachelor's degree or higher (>25),Total High school degree,Total Some college or associate's degree,Total Bachelor's degree,High school degree percentage,Some college or associate's degree percentage,Bachelor's degree percentage,Hispanic or Latino,Not Hispanic nor Latino,Hispanic or Latino population percentage,Not Hispanic nor Lation population percentage,White, Black or African American,American Indian and Alaska Native alone,Asian,Native Hawaiian and Other Pacific Islander alone, Some Other Race alone,
0500000US16019,"Bonneville County, Idaho",116970,58394,49.92%,50.08%,55.7,4344,3.71%,3922,3660,716,17876,7119,15056,6900,65615,21956,21798,10779,15772,18.64%,9.22%,13%,17094,106870,14.61%,85.39%,99943,593,677,1392,145,395,
0500000US16021,"Boundary County, Idaho",12156,6052,49.79%,50.21%,53.4,1042,8.57%,536,244,31,3655,519,1079,425,7712,1504,4191,763,1110,34.48%,6.28%,9%,692,11364,5.69%,94.31%,10550,27,145,72,9,71,
0500000US16023,"Butte County, Idaho",2603,1199,46.06%,53.94%,59.6,249,9.57%,3,38,0,637,217,255,82,1801,337,640,255,255,24.59%,9.80%,10%,134,2440,5.15%,94.85%,2336,2,15,3,2,2,
0500000US16025,"Camas County, Idaho",1069,573,53.60%,46.40%,47.4,14,1.31%,14,0,0,263,78,119,56,656,175,277,78,119,25.91%,7.30%,11%,59,1018,5.52%,94.48%,938,2,0,8,0,5,
0500000US16027,"Canyon County, Idaho",223890,112760,50.36%,49.64%,53.3,13188,5.89%,8898,7877,1697,43120,11168,20055,7942,119819,27997,52018,19045,21752,23.23%,8.51%,10%,59166,171939,26.43%,73.57%,155401,1455,1176,1973,620,1120,
0500000US16029,"Caribou County, Idaho",7028,3366,47.89%,52.11%,63.4,99,1.41%,240,164,58,1528,459,562,227,4079,789,1768,623,620,25.16%,8.86%,9%,384,6643,5.46%,94.54%,6391,0,46,9,15,14,
0500000US16031,"Cassia County, Idaho",23847,11666,48.92%,51.08%,59.4,1470,6.16%,943,626,92,4104,1453,2046,734,12155,2780,5047,2079,2138,21.16%,8.72%,9%,7186,17469,30.13%,69.87%,16522,64,122,131,29,80,
0500000US16033,"Clark County, Idaho",885,395,44.63%,55.37%,45.3,33,3.73%,21,13,6,176,29,68,26,362,94,197,42,74,22.26%,4.75%,8%,288,502,32.54%,67.46%,463,3,2,1,0,2,
0500000US16035,"Clearwater County, Idaho",8735,3901,44.66%,55.34%,49,361,4.13%,255,164,29,2349,625,788,388,6260,1176,2604,789,817,29.81%,9.03%,9%,300,8434,3.43%,96.57%,7882,40,133,45,2,35,
0500000US16037,"Custer County, Idaho",4193,2076,49.51%,50.49%,60.8,434,10.35%,89,198,7,737,347,810,108,2760,918,826,545,817,19.70%,13.00%,19%,156,4119,3.72%,96.28%,3893,3,32,15,1,19,
0500000US16039,"Elmore County, Idaho",27043,12858,47.55%,52.45%,55,1745,6.45%,1394,1227,70,4885,2191,2567,953,15376,3520,6279,3418,2637,23.22%,12.64%,10%,5097,23569,18.85%,81.15%,19996,688,234,766,101,145,
0500000US16041,"Franklin County, Idaho",13736,6664,48.52%,51.49%,64.1,479,3.49%,485,331,117,3516,635,864,532,7476,1396,4001,966,981,29.13%,7.03%,7%,1023,13171,7.45%,92.55%,12701,22,75,28,7,20,
0500000US16043,"Fremont County, Idaho",13111,6293,48.00%,52.00%,63.2,476,3.63%,412,554,16,2538,980,1217,468,7607,1685,2950,1534,1233,22.50%,11.70%,9%,1590,11798,12.13%,87.87%,11292,21,68,44,24,34,
0500000US16045,"Gem County, Idaho",17771,9004,50.67%,49.33%,55.2,449,2.53%,662,392,103,4474,881,1697,642,10840,2339,5136,1273,1800,28.90%,7.16%,10%,1722,17401,9.69%,90.31%,16132,29,124,99,20,96,
0500000US16047,"Gooding County, Idaho",15280,7434,48.65%,51.35%,53.7,651,4.26%,570,362,8,3629,663,1171,493,7943,1664,4199,1025,1179,27.48%,6.71%,8%,4847,10751,31.72%,68.28%,10044,20,70,40,4,52,
0500000US16049,"Idaho County, Idaho",16511,7814,47.33%,52.67%,60,640,3.88%,525,294,11,4301,1395,1957,572,11286,2529,4826,1689,1968,29.23%,10.23%,12%,611,15930,3.70%,96.30%,14656,54,414,55,5,94,
0500000US16051,"Jefferson County, Idaho",29238,14405,49.27%,50.73%,61.9,890,3.04%,1229,994,50,4165,2757,2888,1352,15359,4240,5394,3751,2938,18.45%,12.83%,10%,3256,27635,11.14%,88.86%,26430,73,127,118,30,106,
0500000US16053,"Jerome County, Idaho",24074,11909,49.47%,50.53%,54.9,1945,8.08%,888,497,49,4482,1573,1431,737,11469,2168,5370,2070,1480,22.31%,8.60%,6%,9176,15061,38.12%,61.88%,14153,39,110,80,22,70,
0500000US16055,"Kootenai County, Idaho",161676,81597,50.47%,49.53%,58.1,6121,3.79%,5126,4495,362,30196,11587,19906,10062,105752,29968,35322,16082,20268,21.85%,9.95%,13%,8756,162606,5.42%,94.58%,149107,463,1715,1371,195,927,
0500000US16057,"Latah County, Idaho",40052,19590,48.91%,51.09%,45.6,3705,9.25%,1509,6193,1610,4646,1797,5901,4312,22175,10213,6155,7990,7511,15.37%,19.95%,19%,2073,37444,5.18%,94.82%,33476,318,263,968,48,227,
0500000US16059,"Lemhi County, Idaho",7929,3845,48.49%,51.51%,55.3,287,3.62%,212,112,2,1667,559,919,500,5576,1419,1879,671,921,23.70%,8.46%,12%,295,7679,3.72%,96.28%,7280,17,46,28,6,38,
0500000US16061,"Lewis County, Idaho",3850,1956,50.81%,49.20%,52.1,230,5.97%,96,71,9,761,344,367,159,2454,526,857,415,376,22.26%,10.78%,10%,138,3395,3.58%,96.42%,3031,6,181,7,1,12,
0500000US16063,"Lincoln County, Idaho",5342,2519,47.16%,52.85%,54.8,367,6.87%,114,163,47,1076,446,260,121,2708,381,1190,609,307,22.28%,11.40%,6%,1639,3488,30.68%,69.32%,3245,6,22,10,4,5,
0500000US16065,"Madison County, Idaho",39725,19527,49.16%,50.85%,61.6,5156,12.98%,2630,8164,906,2428,2554,4647,1827,15985,6474,5058,10718,5553,12.73%,26.98%,14%,5248,47665,13.21%,86.79%,43985,709,153,933,215,165,
0500000US16067,"Minidoka County, Idaho",20817,10393,49.93%,50.07%,58,953,4.58%,855,481,36,4075,1277,1122,679,10158,1801,4930,1758,1158,23.68%,8.45%,6%,7909,13704,37.99%,62.01%,12946,27,92,51,10,57,
0500000US16069,"Nez Perce County, Idaho",40468,20440,50.51%,49.49%,53.6,1973,4.88%,1151,1672,195,8694,3189,4820,1999,26207,6819,9845,4861,5015,24.33%,12.01%,12%,1630,40460,4.03%,95.97%,35436,184,2336,324,32,126,
0500000US16071,"Oneida County, Idaho",4429,2202,49.72%,50.28%,65.4,172,3.88%,88,120,57,930,207,527,103,2577,630,1018,327,584,22.98%,7.38%,13%,178,4386,4.02%,95.98%,4259,2,14,14,4,8,
0500000US16073,"Owyhee County, Idaho",11724,5565,47.47%,52.53%,59.9,466,3.97%,464,266,34,2454,549,735,224,5729,959,2918,815,769,24.89%,6.95%,7%,2915,8998,24.86%,75.14%,8060,28,374,42,8,68,
0500000US16075,"Payette County, Idaho",23705,11928,50.32%,49.68%,57.1,887,3.74%,929,590,15,5851,1349,1855,706,13535,2561,6780,1939,1870,28.60%,8.18%,8%,4268,21118,18.00%,82.00%,19240,52,163,207,31,133,
0500000US16077,"Power County, Idaho",7635,3799,49.76%,50.24%,55.3,290,3.80%,253,155,103,1663,226,449,292,3770,741,1916,381,552,25.09%,4.99%,7%,2624,5254,34.37%,65.63%,4826,17,172,18,8,22,
0500000US16079,"Shoshone County, Idaho",12700,6421,50.56%,49.44%,50.6,770,6.06%,447,281,35,3458,989,625,351,7999,976,3905,1270,660,30.75%,10.00%,5%,450,12719,3.54%,96.46%,11771,15,145,53,6,83,
0500000US16081,"Teton County, Idaho",11776,5735,48.70%,51.30%,55.4,312,2.65%,267,467,83,1341,655,2345,938,7382,3283,1608,1122,2428,13.65%,9.53%,21%,2020,9610,17.15%,82.85%,9141,16,25,51,0,37,
0500000US16083,"Twin Falls County, Idaho",86198,43775,50.78%,49.22%,56.3,4065,4.72%,2997,3001,327,14784,6440,7901,4913,48126,12814,17781,9441,8228,20.63%,10.95%,10%,15210,74836,17.65%,82.35%,68169,1021,499,1403,201,267,
0500000US16085,"Valley County, Idaho",11085,5542,50.00%,50.01%,52.8,262,2.36%,85,134,203,2142,702,1828,803,7949,2631,2227,836,2031,20.09%,7.54%,18%,601,11145,5.42%,94.58%,10467,16,54,55,8,78,
0500000US16087,"Washington County, Idaho",10128,5115,50.50%,49.50%,55.4,718,7.09%,244,258,39,2172,774,823,539,6269,1362,2416,1032,862,23.85%,10.19%,9%,1662,8838,16.41%,83.59%,8118,17,74,81,7,53,
0500000US17001,"Adams County, Illinois",65670,33429,50.91%,49.10%,53.9,3477,5.29%,2062,1954,458,15776,4140,7537,4024,42281,11561,17838,6094,7995,27.16%,9.28%,12%,1287,64450,1.96%,98.04%,58389,2464,92,500,33,223,
0500000US17003,"Alexander County, Illinois",6011,3134,52.14%,47.86%,42.2,600,9.98%,160,77,0,1661,445,380,114,3678,494,1821,522,380,30.29%,8.68%,6%,82,5158,1.36%,98.64%,3274,1612,22,6,0,8,
0500000US17005,"Bond County, Illinois",16520,7829,47.39%,52.61%,51,859,5.20%,376,1032,46,3926,1245,1568,1006,10650,2574,4302,2277,1614,26.04%,13.78%,10%,604,16121,3.66%,96.34%,14264,1073,52,94,11,93,
0500000US17007,"Boone County, Illinois",53293,26775,50.24%,49.76%,51.7,1924,3.61%,1476,2582,248,11331,2915,5125,3364,30429,8489,12807,5497,5373,24.03%,10.31%,10%,12880,40568,24.17%,75.83%,36689,1171,72,637,9,181,
0500000US17009,"Brown County, Illinois",6599,2419,36.66%,63.34%,41,127,1.92%,215,191,54,1889,356,494,126,3977,620,2104,547,548,31.88%,8.29%,8%,282,5962,4.27%,95.73%,4764,1035,7,11,0,2,
0500000US17011,"Bureau County, Illinois",32878,16725,50.87%,49.13%,54.8,1404,4.27%,930,978,192,8426,2225,3234,1607,21210,4841,9356,3203,3426,28.46%,9.74%,10%,3095,30149,9.41%,90.59%,28511,259,49,298,21,51,
0500000US17013,"Calhoun County, Illinois",4782,2360,49.35%,50.65%,55.8,150,3.14%,113,135,38,1449,558,334,212,3256,546,1562,693,372,32.66%,14.49%,8%,64,4373,1.34%,98.66%,4217,7,4,7,0,6,
0500000US17015,"Carroll County, Illinois",14398,7171,49.81%,50.19%,56.1,665,4.62%,519,325,94,4020,947,1385,725,9637,2110,4539,1272,1479,31.53%,8.83%,10%,757,14945,5.26%,94.74%,13743,676,49,40,5,32,
0500000US17017,"Cass County, Illinois",12324,6237,50.61%,49.39%,53.4,716,5.81%,412,289,11,3393,625,974,361,6966,1335,3805,914,985,30.87%,7.42%,8%,2789,10253,22.63%,77.37%,9061,706,36,117,33,10,
0500000US17019,"Champaign County, Illinois",210006,105163,50.08%,49.92%,39.1,24995,11.90%,8093,29513,8810,26809,10139,25835,29324,116216,55159,34902,39652,34645,16.62%,18.88%,16%,16666,189199,7.94%,92.06%,125280,28215,279,24420,60,897,
0500000US17021,"Christian County, Illinois",32705,16102,49.23%,50.77%,48.1,1600,4.89%,743,935,319,9454,2401,3023,1231,20927,4254,10197,3336,3342,31.18%,10.20%,10%,1094,32938,3.35%,96.65%,31226,380,59,179,1,60,
0500000US17023,"Clark County, Illinois",15602,7816,50.10%,49.90%,59.9,399,2.56%,463,360,171,4266,1515,1517,868,10177,2385,4729,1875,1688,30.31%,12.02%,11%,246,15209,1.58%,98.42%,14680,54,28,52,0,30,
0500000US17025,"Clay County, Illinois",13217,6653,50.34%,49.66%,52.3,786,5.95%,298,401,75,3550,1150,911,515,8148,1426,3848,1551,986,29.11%,11.73%,7%,223,13065,1.69%,98.31%,12481,30,33,77,0,18,
0500000US17027,"Clinton County, Illinois",37549,18023,48.00%,52.00%,52.6,1132,3.01%,1185,936,306,8633,3998,4054,1755,24138,5809,9818,4934,4360,26.15%,13.14%,12%,1387,35512,3.69%,96.31%,32845,1140,80,175,5,93,
0500000US17029,"Coles County, Illinois",51065,26326,51.55%,48.45%,40.9,4701,9.21%,2150,5295,964,10219,3682,5011,3559,29887,8570,12369,8977,5975,24.22%,17.58%,12%,1768,45095,3.46%,96.54%,40352,2043,82,617,24,211,
0500000US17031,"Cook County, Illinois",5169517,2659831,51.45%,48.55%,42.3,317488,6.14%,128409,191084,83105,811264,238063,846361,587058,3142885,1433419,939673,429147,929466,18.18%,8.30%,18%,1382778,3892763,26.75%,73.25%,2135243,1185601,5655,408691,961,20538,
0500000US17033,"Crawford County, Illinois",18833,8751,46.47%,53.53%,52.7,965,5.12%,520,408,95,4000,2360,1550,741,11928,2291,4520,2768,1645,24.00%,14.70%,9%,447,18232,2.37%,97.63%,16941,608,36,76,2,29,
0500000US17035,"Cumberland County, Illinois",10787,5325,49.37%,50.64%,60.6,414,3.84%,227,366,37,3065,1007,1034,403,7000,1437,3292,1373,1071,30.52%,12.73%,10%,112,10338,1.04%,98.96%,9947,28,13,21,0,17,
0500000US17037,"DeKalb County, Illinois",104588,52799,50.48%,49.52%,41.4,9336,8.93%,4080,12249,2300,15693,6410,12476,7533,56942,20009,19773,18659,14776,18.91%,17.84%,14%,13597,86823,13.00%,87.00%,71249,8730,119,2280,29,298,
0500000US17039,"De Witt County, Illinois",15764,7974,50.58%,49.42%,52.6,664,4.21%,333,389,80,4449,932,1648,639,10407,2287,4782,1321,1728,30.33%,8.38%,11%,510,15006,3.24%,96.76%,14370,108,19,40,16,16,
0500000US17041,"Douglas County, Illinois",19551,9835,50.30%,49.70%,55.7,940,4.81%,464,560,104,4335,1219,1865,759,10923,2624,4799,1779,1969,24.55%,9.10%,10%,1565,18175,8.00%,92.00%,17420,67,28,103,6,34,
0500000US17043,"DuPage County, Illinois",926005,470956,50.86%,49.14%,55.8,26876,2.90%,21279,34800,16049,115694,46012,194631,125421,593465,320052,136973,80812,210680,14.79%,8.73%,23%,144291,788586,15.58%,84.42%,591441,44201,873,118982,219,3299,
0500000US17045,"Edgar County, Illinois",17272,8735,50.57%,49.43%,57.3,738,4.27%,499,550,122,4875,1464,1600,668,11353,2268,5374,2014,1722,31.11%,11.66%,10%,225,16641,1.30%,98.70%,16005,82,17,51,0,33,
0500000US17047,"Edwards County, Illinois",6431,3271,50.86%,49.14%,55.8,344,5.35%,133,175,20,1554,837,459,145,4176,604,1687,1012,479,26.23%,15.74%,7%,63,6182,0.98%,99.02%,5994,16,8,21,4,11,
0500000US17049,"Effingham County, Illinois",34151,17148,50.21%,49.79%,55,1251,3.66%,840,1055,264,7962,3412,3794,1659,21883,5453,8802,4467,4058,25.77%,13.08%,12%,872,33796,2.55%,97.45%,32361,151,36,246,6,45,
0500000US17051,"Fayette County, Illinois",21418,10097,47.14%,52.86%,50.8,1598,7.46%,788,563,68,6076,1839,1355,525,13150,1880,6864,2402,1423,32.05%,11.21%,7%,657,20831,3.07%,96.93%,19425,780,80,67,1,31,
0500000US17053,"Ford County, Illinois",13155,6668,50.69%,49.31%,53.9,789,6.00%,367,318,93,3314,944,1285,712,8416,1997,3681,1262,1378,27.98%,9.59%,10%,554,12980,4.21%,95.79%,12265,75,24,57,0,42,
0500000US17055,"Franklin County, Illinois",38688,19611,50.69%,49.31%,49.7,2886,7.46%,943,1034,129,8999,3100,3265,1397,24334,4662,9942,4134,3394,25.70%,10.69%,9%,642,37162,1.66%,98.34%,35210,162,92,119,4,63,
0500000US17057,"Fulton County, Illinois",34654,16708,48.21%,51.79%,47.1,2320,6.69%,733,1124,262,9165,2581,3151,1472,22551,4623,9898,3705,3413,28.56%,10.69%,10%,738,32871,2.13%,97.87%,30616,1102,59,69,6,77,
0500000US17059,"Gallatin County, Illinois",4983,2554,51.25%,48.75%,53,442,8.87%,129,129,15,1407,354,274,145,3142,419,1536,483,289,30.82%,9.69%,6%,53,4893,1.06%,98.94%,4683,25,5,23,0,3,
0500000US17061,"Greene County, Illinois",12988,6434,49.54%,50.46%,50.6,735,5.66%,453,333,64,4293,929,1020,394,8572,1414,4746,1262,1084,36.54%,9.72%,8%,106,11879,0.82%,99.18%,11451,18,13,21,3,23,
0500000US17063,"Grundy County, Illinois",50798,25402,50.01%,49.99%,57,1312,2.58%,1686,1498,415,10766,3196,5657,2971,31750,8628,12452,4694,6072,24.51%,9.24%,12%,5712,46821,11.24%,88.76%,43472,833,48,466,16,122,
0500000US17065,"Hamilton County, Illinois",8151,4153,50.95%,49.05%,57,727,8.92%,133,315,66,1773,595,727,508,5040,1235,1906,910,793,23.38%,11.16%,10%,96,7897,1.18%,98.82%,7574,36,16,12,0,1,
0500000US17067,"Hancock County, Illinois",17820,8958,50.27%,49.73%,57.1,853,4.79%,447,560,51,4662,1623,2033,837,12038,2870,5109,2183,2084,28.67%,12.25%,12%,318,17302,1.78%,98.22%,16599,73,38,57,4,29,
0500000US17069,"Hardin County, Illinois",3890,1866,47.97%,52.03%,49,186,4.78%,225,64,0,1088,492,225,113,2614,338,1313,556,225,33.75%,14.29%,6%,65,3584,1.67%,98.33%,3374,11,0,17,2,4,
0500000US17071,"Henderson County, Illinois",6737,3404,50.53%,49.47%,59.6,227,3.37%,181,152,71,2110,533,662,222,4643,884,2291,685,733,34.01%,10.17%,11%,112,6275,1.66%,98.34%,6060,29,5,14,5,0,
0500000US17073,"Henry County, Illinois",49032,24743,50.46%,49.54%,55,2114,4.31%,1573,1371,345,11742,4318,5679,2509,31871,8188,13315,5689,6024,27.16%,11.60%,12%,3170,46114,6.47%,93.53%,43094,1029,63,192,12,94,
0500000US17075,"Iroquois County, Illinois",27437,14079,51.31%,48.69%,54,1535,5.59%,886,641,138,7675,1902,2132,868,17157,3000,8561,2543,2270,31.20%,9.27%,8%,2085,24992,7.60%,92.40%,23602,212,38,99,0,48,
0500000US17077,"Jackson County, Illinois",57517,29124,50.64%,49.37%,37.8,6664,11.59%,1994,7482,1937,8485,3083,5674,6723,32317,12397,10479,10565,7611,18.22%,18.37%,13%,2837,50137,4.93%,95.07%,37513,7503,114,2048,24,239,
0500000US17079,"Jasper County, Illinois",9547,4751,49.76%,50.24%,58.4,490,5.13%,252,334,53,2473,1170,816,441,6200,1257,2725,1504,869,28.54%,15.75%,9%,84,9203,0.88%,99.12%,8934,22,19,15,4,19,
0500000US17081,"Jefferson County, Illinois",37774,18357,48.60%,51.40%,49.8,2391,6.33%,1174,1172,83,8248,3552,2965,1639,23599,4604,9422,4724,3048,24.94%,12.51%,8%,899,36214,2.38%,97.62%,31182,2783,77,352,7,68,
0500000US17083,"Jersey County, Illinois",21776,11115,51.04%,48.96%,50.7,717,3.29%,632,1191,233,5474,1912,2296,1379,14100,3675,6106,3103,2529,28.04%,14.25%,12%,327,21185,1.50%,98.50%,20105,156,21,74,3,32,
0500000US17085,"Jo Daviess County, Illinois",21429,10660,49.75%,50.25%,61.4,720,3.36%,469,555,107,5587,1599,2643,1602,14850,4245,6056,2154,2750,28.26%,10.05%,13%,856,21179,3.99%,96.01%,20354,114,31,96,6,52,
0500000US17087,"Johnson County, Illinois",12391,5576,45.00%,55.00%,49,557,4.50%,408,344,39,3005,911,1109,359,7527,1468,3413,1255,1148,27.54%,10.13%,9%,552,12756,4.45%,95.55%,10895,1419,20,18,4,12,
0500000US17089,"Kane County, Illinois",531756,266933,50.20%,49.80%,52.7,18079,3.40%,15707,19989,5407,79551,26363,78305,42456,298509,120761,95258,46352,83712,17.91%,8.72%,16%,169595,346927,31.89%,68.11%,282307,26239,514,21191,115,1521,
0500000US17091,"Kankakee County, Illinois",109924,55726,50.70%,49.31%,46.2,6428,5.85%,4539,5169,900,25224,6851,9433,5553,64263,14986,29763,12020,10333,27.08%,10.93%,9%,12520,94982,11.39%,88.61%,73591,15417,173,1069,13,372,
0500000US17093,"Kendall County, Illinois",127583,64607,50.64%,49.36%,55.9,2914,2.28%,3901,3716,1193,18858,8783,18732,10328,74756,29060,22759,12499,19925,17.84%,9.80%,16%,27127,104742,21.26%,78.74%,84690,9693,117,4625,10,487,
0500000US17095,"Knox County, Illinois",50052,24608,49.17%,50.84%,42.4,3352,6.70%,1551,2886,276,12303,4011,4317,2380,30928,6697,13854,6897,4593,27.68%,13.78%,9%,3051,46916,6.10%,93.90%,39615,4354,73,361,12,207,
0500000US17097,"Lake County, Illinois",699682,350168,50.05%,49.95%,55,24288,3.47%,25869,26991,10036,92200,29965,123494,87781,416524,211275,118069,56956,133530,16.87%,8.14%,19%,171962,542380,24.58%,75.42%,408349,47240,909,58901,312,3264,
0500000US17099,"LaSalle County, Illinois",108998,54114,49.65%,50.35%,50.9,6250,5.73%,3359,3237,664,27490,8360,9325,4811,68942,14136,30849,11597,9989,28.30%,10.64%,9%,11456,98202,10.51%,89.49%,90445,2514,153,855,8,297,
0500000US17101,"Lawrence County, Illinois",15830,6969,44.02%,55.98%,48.8,760,4.80%,510,297,13,4231,1581,1071,544,9833,1615,4741,1878,1084,29.95%,11.86%,7%,514,14766,3.25%,96.75%,12777,1393,12,58,7,29,
0500000US17103,"Lee County, Illinois",34204,16043,46.90%,53.10%,48.4,1525,4.46%,835,929,111,8585,2836,3096,1592,22448,4688,9420,3765,3207,27.54%,11.01%,9%,2324,31821,6.79%,93.21%,28435,1831,30,248,10,95,
0500000US17105,"Livingston County, Illinois",35757,17489,48.91%,51.09%,50.6,1470,4.11%,1212,804,156,10635,2100,2817,1375,22686,4192,11847,2904,2973,33.13%,8.12%,8%,1859,33956,5.20%,94.80%,31518,1081,38,171,1,89,
0500000US17107,"Logan County, Illinois",28818,14591,50.63%,49.37%,48.2,1197,4.15%,1151,1185,385,7369,1861,2676,1258,18115,3934,8520,3046,3061,29.56%,10.57%,11%,818,27169,2.84%,97.16%,24452,1494,48,178,1,76,
0500000US17109,"McDonough County, Illinois",30107,15538,51.61%,48.39%,39.6,3017,10.02%,1108,4787,431,5590,1931,2896,2983,17289,5879,6698,6718,3327,22.25%,22.31%,11%,962,26276,3.20%,96.80%,23062,1498,47,560,6,73,
0500000US17111,"McHenry County, Illinois",307291,154401,50.25%,49.75%,57,8799,2.86%,8140,11239,3292,54099,18992,49360,24365,195263,73725,62239,30231,52652,20.25%,9.84%,17%,46705,263524,15.20%,84.80%,238659,4073,325,8669,45,872,
0500000US17113,"McLean County, Illinois",172164,88481,51.39%,48.61%,46.1,15532,9.02%,5200,19446,3253,25297,8522,30851,15955,101045,46806,30497,27968,34104,17.71%,16.24%,20%,10524,160430,6.11%,93.89%,129440,14699,258,8108,38,618,
0500000US17115,"Macon County, Illinois",104688,54696,52.25%,47.75%,48.1,6614,6.32%,2953,3917,544,24815,6421,11316,5728,65984,17044,27768,10338,11860,26.52%,9.88%,11%,2733,101265,2.61%,97.39%,75117,18886,178,1512,31,415,
0500000US17117,"Macoupin County, Illinois",45243,22820,50.44%,49.56%,52.5,3014,6.66%,1516,1349,323,12877,3294,4059,1882,29441,5941,14393,4643,4382,31.81%,10.26%,10%,570,44397,1.26%,98.74%,41850,368,109,179,0,54,
0500000US17119,"Madison County, Illinois",264403,135581,51.28%,48.72%,51,14126,5.34%,5684,11258,2010,53471,19940,32264,19156,171753,51420,59155,31198,34274,22.37%,11.80%,13%,10797,255062,4.08%,95.92%,213793,24671,559,2718,92,825,
0500000US17121,"Marion County, Illinois",37524,19190,51.14%,48.86%,48.9,2685,7.16%,1009,1180,124,8958,3208,2731,1515,23427,4246,9967,4388,2855,26.56%,11.69%,8%,712,37017,1.90%,98.10%,33150,1509,94,349,1,97,
0500000US17123,"Marshall County, Illinois",11562,5824,50.37%,49.63%,56,472,4.08%,370,263,49,3199,868,1155,369,7741,1524,3569,1131,1204,30.87%,9.78%,10%,323,11419,2.79%,97.21%,10858,86,18,43,0,25,
0500000US17125,"Mason County, Illinois",13486,6820,50.57%,49.43%,53.2,915,6.78%,273,363,55,3926,1064,1130,486,8719,1616,4199,1427,1185,31.14%,10.58%,9%,184,12902,1.36%,98.64%,12339,49,24,26,1,11,
0500000US17127,"Massac County, Illinois",14041,7430,52.92%,47.08%,55.9,837,5.96%,182,474,35,3588,1284,1002,382,8928,1384,3770,1758,1037,26.85%,12.52%,7%,333,13836,2.37%,97.63%,12077,875,35,43,6,61,
0500000US17129,"Menard County, Illinois",12261,6272,51.15%,48.85%,62,414,3.38%,343,354,91,3022,1040,1245,771,8255,2016,3365,1394,1336,27.44%,11.37%,11%,160,12137,1.30%,98.70%,11502,80,18,49,2,25,
0500000US17131,"Mercer County, Illinois",15503,7726,49.84%,50.16%,59.3,650,4.19%,473,390,53,4472,1111,1287,708,10244,1995,4945,1501,1340,31.90%,9.68%,9%,468,15231,3.02%,96.98%,14578,68,26,37,2,17,
0500000US17133,"Monroe County, Illinois",34444,17477,50.74%,49.26%,61.8,388,1.13%,924,1112,100,6427,2258,5602,3336,23423,8938,7351,3370,5702,21.34%,9.78%,17%,646,34316,1.88%,98.12%,32680,118,53,186,2,66,
0500000US17135,"Montgomery County, Illinois",28598,13532,47.32%,52.68%,50.1,1597,5.58%,812,620,135,8248,1838,2361,1412,18347,3773,9060,2458,2496,31.68%,8.60%,9%,587,27701,2.05%,97.95%,25709,916,49,131,7,26,
0500000US17137,"Morgan County, Illinois",34012,16914,49.73%,50.27%,44.6,1606,4.72%,1308,1624,319,9429,1820,3146,1591,21322,4737,10737,3444,3465,31.57%,10.13%,10%,838,32077,2.46%,97.54%,28489,1961,54,266,16,84,
0500000US17139,"Moultrie County, Illinois",14557,7445,51.14%,48.86%,61,670,4.60%,277,297,60,3402,961,1347,667,8446,2014,3679,1258,1407,25.27%,8.64%,10%,194,14332,1.33%,98.67%,13747,84,26,49,0,25,
0500000US17141,"Ogle County, Illinois",50793,25611,50.42%,49.58%,55.1,1818,3.58%,1349,1905,202,12073,4026,5032,2692,32091,7724,13422,5931,5234,26.42%,11.68%,10%,5797,45991,11.41%,88.59%,43120,543,72,259,0,104,
0500000US17143,"Peoria County, Illinois",181111,93303,51.52%,48.48%,45,12993,7.17%,4238,7628,1984,34422,11486,23312,14623,111994,37935,38660,19114,25296,21.35%,10.55%,14%,10091,171739,5.57%,94.43%,120629,33635,342,7730,61,783,
0500000US17145,"Perry County, Illinois",21092,9500,45.04%,54.96%,47.5,1476,7.00%,629,644,77,5630,1780,1286,491,12707,1777,6259,2424,1363,29.67%,11.49%,6%,714,20231,3.39%,96.61%,17779,1653,34,125,1,34,
0500000US17147,"Piatt County, Illinois",16412,8298,50.56%,49.44%,59.5,557,3.39%,486,410,130,3849,1399,2303,1150,10861,3453,4335,1809,2433,26.41%,11.02%,15%,247,16426,1.50%,98.50%,15600,83,23,80,1,51,
0500000US17149,"Pike County, Illinois",15571,7866,50.52%,49.48%,49.4,992,6.37%,641,282,64,4475,946,1147,547,9766,1694,5116,1228,1211,32.86%,7.89%,8%,262,14477,1.68%,98.32%,13874,63,33,43,6,20,
0500000US17151,"Pope County, Illinois",4177,2016,48.26%,51.74%,46.6,529,12.66%,88,45,0,1489,224,365,195,3006,560,1577,269,365,37.75%,6.44%,9%,71,3692,1.70%,98.30%,3491,38,1,16,0,0,
0500000US17153,"Pulaski County, Illinois",5414,2777,51.29%,48.71%,47.4,474,8.76%,198,171,9,1531,343,256,194,3442,450,1729,514,265,31.94%,9.49%,5%,204,4989,3.77%,96.23%,3245,1462,36,13,0,14,
